date,education
3911,C4+
5930,1-8
5931,C1-3
5932,C1-3
3909,12orGED
3910,C1-3
5947,C1-3
5948,1-8
3865,C4+
5124,C1-3
5123,C1-3
5688,9-11
5044,12orGED
5045,12orGED
5305,C4+
5304,9-11
5774,9-11
598,1-8
5775,C1-3
5301,C4+
5777,12orGED
5300,12orGED
5782,12orGED
5781,9-11
5783,12orGED
5778,C1-3
5307,C1-3
5306,1-8
5779,12orGED
635,C4+
6675,9-11
6754,12orGED
8514,C4+
5293,C1-3
8516,12orGED
8517,C1-3
8518,C1-3
5295,C4+
5298,12orGED
8509,12orGED
8510,9-11
8511,C4+
5776,C4+
5786,12orGED
5297,C1-3
5789,12orGED
5065,C1-3
5067,C1-3
5772,C1-3
5066,9-11
5768,12orGED
5769,9-11
5042,12orGED
5770,12orGED
5755,1-8
5749,C1-3
5750,C1-3
5751,12orGED
5752,C4+
5753,C1-3
5754,C1-3
5758,1-8
5759,12orGED
5760,12orGED
5761,12orGED
5762,12orGED
5040,C1-3
5038,9-11
5037,C1-3
5756,C4+
5757,12orGED
5048,12orGED
5047,12orGED
5049,9-11
5788,C1-3
8512,12orGED
8532,1-8
5689,1-8
8477,1-8
5309,C1-3
5308,9-11
8501,9-11
8502,C1-3
8503,12orGED
8504,C1-3
8505,C1-3
5311,C1-3
8506,12orGED
8500,9-11
8491,C1-3
8492,C4+
8495,12orGED
8497,C4+
8499,9-11
8496,12orGED
8541,C4+
8586,12orGED
8587,C1-3
8589,12orGED
8590,C1-3
8591,C1-3
8592,12orGED
8593,C1-3
8595,C1-3
8577,C1-3
8579,C4+
5270,C4+
8581,C1-3
5310,C1-3
8476,12orGED
8533,12orGED
8475,12orGED
8534,12orGED
5316,12orGED
8537,1-8
8538,9-11
8539,12orGED
8530,C1-3
8529,12orGED
8520,C1-3
8521,1-8
8522,12orGED
8526,C1-3
8527,12orGED
8528,C1-3
8524,9-11
8507,12orGED
5319,12orGED
8483,C4+
8484,C1-3
5318,C4+
8486,C1-3
8487,12orGED
8488,C1-3
8489,C1-3
5317,C4+
8479,C1-3
5315,C1-3
8471,C1-3
8472,C1-3
8473,9-11
5062,12orGED
5063,C1-3
5064,12orGED
5704,12orGED
5703,C1-3
5707,C1-3
5026,1-8
5710,12orGED
5708,9-11
5709,C1-3
5027,12orGED
5028,1-8
5801,12orGED
593,12orGED
592,12orGED
4986,12orGED
5799,C1-3
4985,1-8
594,12orGED
4988,12orGED
4987,12orGED
4983,C1-3
4978,12orGED
5803,12orGED
4977,C4+
4976,C1-3
4975,C1-3
4974,C4+
4973,12orGED
5794,9-11
4981,C1-3
4980,12orGED
5790,12orGED
5032,C1-3
5700,C1-3
5765,12orGED
5033,9-11
5127,C1-3
5129,9-11
5128,C4+
5684,1-8
5019,C1-3
5686,C1-3
5018,12orGED
5017,9-11
5016,12orGED
5020,9-11
5021,12orGED
5714,C1-3
5715,C1-3
5713,C4+
5024,12orGED
5023,12orGED
5712,C1-3
5022,C4+
5010,12orGED
5716,C4+
5011,C1-3
5015,C1-3
5014,C4+
5012,C4+
5030,C1-3
5029,12orGED
5705,12orGED
5706,9-11
5699,12orGED
597,12orGED
5793,C4+
5791,C1-3
5004,12orGED
5824,12orGED
5827,12orGED
5825,12orGED
5058,9-11
5826,C1-3
5056,12orGED
5818,C4+
5050,C4+
5811,12orGED
589,9-11
5812,C1-3
590,C1-3
5807,C4+
591,12orGED
5051,12orGED
5070,9-11
5068,1-8
588,9-11
5813,12orGED
5815,C1-3
5816,C1-3
5071,12orGED
5075,12orGED
647,C1-3
5767,C1-3
5074,C1-3
5073,12orGED
600,12orGED
5072,C4+
5060,C1-3
5055,1-8
5829,9-11
4990,12orGED
5003,12orGED
5002,12orGED
595,9-11
5798,9-11
5007,C1-3
5006,C1-3
5005,1-8
5001,C1-3
4994,12orGED
4993,C4+
4992,1-8
4991,12orGED
5806,9-11
587,C4+
5052,12orGED
5822,C4+
652,12orGED
5823,C4+
4995,12orGED
5000,C1-3
4999,9-11
4997,1-8
651,12orGED
5819,C1-3
5036,C1-3
5054,C1-3
5828,12orGED
586,9-11
5837,C4+
3826,C1-3
4645,12orGED
3584,12orGED
5398,C1-3
3590,9-11
5396,9-11
3589,C4+
3588,12orGED
3587,9-11
5395,12orGED
3586,C4+
5406,12orGED
5407,C1-3
5405,C1-3
781,C4+
3577,C4+
5409,12orGED
5408,12orGED
3576,12orGED
5400,C4+
5402,C1-3
5403,C1-3
3578,C4+
5401,12orGED
3581,C4+
3579,12orGED
5384,C4+
3580,9-11
3627,12orGED
3628,None
5387,C1-3
5382,C1-3
3582,C1-3
3585,9-11
775,9-11
5466,9-11
3612,C1-3
3620,12orGED
3619,12orGED
5474,1-8
771,12orGED
5475,C1-3
3571,C1-3
3570,C4+
3569,12orGED
5457,12orGED
5458,12orGED
784,1-8
3572,C1-3
3574,12orGED
5460,C4+
5456,9-11
3573,C1-3
5453,1-8
5454,C4+
5455,C1-3
5461,12orGED
5467,12orGED
3562,12orGED
3561,C1-3
3563,12orGED
5462,12orGED
5463,12orGED
5464,C1-3
5465,12orGED
5383,12orGED
5391,9-11
3615,12orGED
3681,12orGED
3672,C1-3
3667,12orGED
3666,C4+
5415,C4+
5416,9-11
3665,9-11
3664,C4+
5410,12orGED
5411,C1-3
5412,C1-3
3671,C1-3
3670,9-11
3668,12orGED
5413,9-11
5414,C1-3
5421,1-8
5419,12orGED
3639,1-8
629,12orGED
5420,C4+
5418,12orGED
630,1-8
5417,C4+
5477,12orGED
3641,C4+
3640,12orGED
5534,12orGED
5535,C1-3
3633,12orGED
5427,9-11
5426,12orGED
5392,9-11
5425,12orGED
5393,12orGED
3661,12orGED
3660,12orGED
5388,12orGED
5390,C1-3
3654,C1-3
3653,12orGED
5389,C1-3
3652,12orGED
5424,C1-3
3655,C4+
3656,9-11
776,1-8
3659,12orGED
3658,C1-3
5422,C1-3
5423,12orGED
3657,C1-3
3663,C4+
3680,C1-3
3679,12orGED
3678,12orGED
3677,C1-3
772,C1-3
3676,9-11
5430,9-11
3675,12orGED
3674,C4+
3682,1-8
5469,12orGED
3617,1-8
3827,C4+
3793,C1-3
3790,C1-3
5626,C1-3
615,12orGED
5630,C4+
3792,C4+
758,12orGED
3796,9-11
3795,1-8
3794,12orGED
5629,12orGED
3782,12orGED
3781,12orGED
3780,C1-3
3784,9-11
5648,C1-3
5649,12orGED
5650,C4+
3786,C1-3
3785,C4+
3783,C4+
5647,9-11
3762,12orGED
3746,12orGED
3745,C1-3
3744,1-8
3749,C1-3
5652,C4+
3748,C1-3
5653,1-8
3791,12orGED
3771,C1-3
3747,C4+
3772,C1-3
3698,C1-3
5670,12orGED
5671,C1-3
5672,9-11
3700,9-11
5634,C4+
613,12orGED
614,C1-3
5636,1-8
3777,9-11
3776,12orGED
3775,12orGED
759,C4+
5633,12orGED
5639,12orGED
3779,12orGED
5640,12orGED
3774,12orGED
3770,C1-3
612,12orGED
3769,1-8
3768,C1-3
3767,C4+
3766,12orGED
3765,C1-3
5637,C1-3
3764,9-11
3763,C1-3
3773,C1-3
5654,C4+
3742,12orGED
3618,9-11
780,C1-3
3598,12orGED
3597,12orGED
3605,C4+
3609,C4+
779,12orGED
3606,9-11
5432,C4+
5434,12orGED
3594,C1-3
5435,C4+
3593,12orGED
3592,12orGED
5431,C1-3
3596,12orGED
5436,12orGED
5440,12orGED
5441,C1-3
5442,9-11
5443,12orGED
3595,C1-3
3611,C1-3
3622,C1-3
5438,C1-3
5470,12orGED
5471,9-11
5472,9-11
3625,9-11
627,1-8
778,12orGED
3599,1-8
3600,12orGED
3740,12orGED
3601,12orGED
5641,C1-3
3738,9-11
3737,C1-3
3736,12orGED
3741,12orGED
5644,C4+
3759,9-11
5645,C1-3
5646,12orGED
3761,C4+
3760,12orGED
5643,C4+
3758,C1-3
3757,1-8
5448,12orGED
3753,9-11
3752,12orGED
3751,1-8
5447,12orGED
3750,12orGED
3754,C1-3
3756,C1-3
5445,12orGED
3755,12orGED
5446,9-11
5450,C1-3
3604,9-11
3603,C4+
3602,12orGED
3632,9-11
3631,C4+
3630,1-8
4025,9-11
3989,C4+
3988,C1-3
3987,12orGED
3986,12orGED
5864,12orGED
5865,C1-3
3991,12orGED
5863,C1-3
3980,12orGED
3979,1-8
3978,C1-3
5861,12orGED
3977,C4+
3976,12orGED
5862,12orGED
3983,C1-3
5866,9-11
5867,C1-3
3985,9-11
571,C1-3
5869,9-11
3984,12orGED
3982,9-11
4002,12orGED
4001,9-11
4003,C4+
5885,C1-3
5886,9-11
4005,12orGED
4009,1-8
4026,9-11
563,C4+
4024,12orGED
4011,12orGED
5507,C1-3
4010,12orGED
5506,C4+
4013,12orGED
5503,9-11
5504,9-11
5508,12orGED
4020,1-8
4021,C1-3
5513,12orGED
5514,C4+
5515,1-8
625,C1-3
4030,C1-3
4029,C4+
5509,9-11
5510,12orGED
4032,C1-3
5563,9-11
4027,12orGED
5875,12orGED
5876,12orGED
4022,C4+
5870,C4+
5871,C1-3
5872,12orGED
5873,C4+
4023,C1-3
4008,C4+
4007,12orGED
3629,C1-3
5881,9-11
3828,12orGED
3834,C1-3
3833,9-11
5839,12orGED
3831,12orGED
5840,C4+
3842,12orGED
751,12orGED
582,12orGED
3852,12orGED
3853,9-11
583,12orGED
3856,12orGED
5843,C1-3
577,12orGED
3855,12orGED
3854,1-8
3848,C1-3
3847,12orGED
5841,C4+
578,1-8
5832,12orGED
3843,12orGED
5833,9-11
3846,C4+
5834,C4+
3844,C1-3
5831,C1-3
585,C1-3
5882,C1-3
3829,C1-3
564,1-8
3838,9-11
4006,12orGED
5884,1-8
4000,12orGED
3999,C4+
5883,C4+
3995,1-8
3994,9-11
5894,C1-3
561,12orGED
3993,12orGED
5893,12orGED
5892,1-8
3998,1-8
5888,9-11
562,C1-3
5890,C1-3
5891,1-8
3997,C1-3
565,C1-3
5880,9-11
3837,C1-3
3836,C1-3
566,9-11
567,9-11
569,12orGED
3835,9-11
568,9-11
3841,C1-3
3840,12orGED
5505,12orGED
742,C1-3
5518,12orGED
5557,C4+
5553,12orGED
5554,C1-3
5555,C1-3
5556,C1-3
3951,C1-3
5562,12orGED
623,C1-3
3950,C4+
745,C4+
3955,C1-3
3953,12orGED
3962,12orGED
5552,C1-3
5544,12orGED
3968,12orGED
5546,12orGED
5547,C4+
3969,9-11
3975,12orGED
5542,12orGED
3974,C4+
5543,12orGED
3972,1-8
3971,C1-3
3970,C1-3
744,12orGED
5551,9-11
5548,C4+
5549,1-8
3949,C4+
5559,12orGED
5523,12orGED
5561,1-8
5533,C1-3
3637,12orGED
5539,12orGED
3635,12orGED
3634,12orGED
5540,12orGED
5541,12orGED
3648,12orGED
5536,C1-3
5538,9-11
5537,1-8
777,12orGED
5529,9-11
3650,C1-3
3649,9-11
3647,12orGED
3646,C1-3
3645,C1-3
5528,C1-3
3644,12orGED
3643,12orGED
3642,1-8
5532,9-11
5530,C1-3
3958,12orGED
3957,9-11
5558,12orGED
5560,C1-3
3960,9-11
3965,12orGED
5550,C4+
743,12orGED
5526,9-11
3947,12orGED
5491,12orGED
3946,C4+
5493,C1-3
3945,C1-3
5492,C1-3
5486,1-8
5487,C4+
3932,C1-3
5490,12orGED
5489,1-8
748,9-11
5502,9-11
3931,C1-3
3938,12orGED
5521,12orGED
3936,C4+
3935,C1-3
3934,9-11
5520,C1-3
4015,C1-3
4014,9-11
5519,12orGED
4016,C4+
5525,C1-3
4019,9-11
5522,1-8
4018,12orGED
4017,12orGED
5479,9-11
5481,12orGED
3939,12orGED
5498,12orGED
3928,9-11
5495,9-11
3927,12orGED
5501,12orGED
3930,9-11
3926,12orGED
5500,12orGED
3920,12orGED
3919,9-11
3918,9-11
3917,C1-3
3921,C1-3
5497,12orGED
5499,C1-3
3940,12orGED
3925,C1-3
3924,9-11
5483,9-11
5484,C4+
3923,1-8
3922,9-11
5485,9-11
3944,12orGED
3943,C1-3
3942,12orGED
3941,12orGED
5478,12orGED
5480,12orGED
8583,1-8
5276,C4+
8584,C1-3
73,C1-3
5255,12orGED
7940,12orGED
7941,12orGED
7936,1-8
7935,12orGED
9387,9-11
5254,C1-3
7932,12orGED
7933,C4+
7934,C4+
7915,C1-3
5258,9-11
9386,9-11
7914,12orGED
7890,1-8
5257,9-11
85,C1-3
7892,1-8
84,C1-3
83,12orGED
9410,12orGED
7889,1-8
7881,12orGED
5218,12orGED
9408,12orGED
5217,12orGED
7882,12orGED
7883,C4+
7884,9-11
5256,C1-3
7937,12orGED
7885,C4+
7931,12orGED
8066,9-11
9397,C4+
8067,12orGED
9395,9-11
8070,12orGED
8071,12orGED
8072,12orGED
8073,12orGED
8074,12orGED
8068,C1-3
8112,C1-3
7999,C1-3
7927,12orGED
7928,12orGED
7929,9-11
7930,C4+
75,12orGED
9384,12orGED
74,12orGED
76,9-11
77,C1-3
7924,9-11
7916,C1-3
7920,C1-3
9383,12orGED
78,12orGED
7921,12orGED
7923,1-8
7925,C4+
87,12orGED
9407,12orGED
8064,C1-3
7972,9-11
7974,12orGED
7975,C4+
7983,12orGED
7976,C1-3
7977,C1-3
66,12orGED
7984,C1-3
7994,12orGED
5208,12orGED
638,9-11
7995,9-11
7996,12orGED
7997,C4+
639,9-11
7998,C4+
7992,12orGED
7985,12orGED
7986,12orGED
7987,C1-3
9404,9-11
637,12orGED
7990,9-11
7971,C4+
5211,C4+
9497,9-11
5210,9-11
9496,C4+
71,1-8
7952,9-11
7973,1-8
7978,9-11
5216,C1-3
9402,9-11
7887,1-8
7888,C4+
86,9-11
7894,12orGED
7905,C4+
7906,C1-3
7908,C1-3
7909,12orGED
7911,C4+
5215,12orGED
80,9-11
7913,1-8
7904,12orGED
7897,1-8
7899,C1-3
7900,9-11
7901,9-11
7902,C1-3
7903,9-11
7942,1-8
5222,C4+
65,C1-3
9411,C1-3
7979,C1-3
9400,C4+
7981,C1-3
7982,12orGED
5220,9-11
5219,C1-3
8065,C4+
8075,C1-3
8585,9-11
64,C1-3
9438,9-11
8001,C1-3
8010,C1-3
5172,9-11
8002,C1-3
63,9-11
5252,12orGED
8011,9-11
8023,12orGED
8025,12orGED
8026,C1-3
8027,12orGED
8028,12orGED
9453,C1-3
8022,C4+
8021,C1-3
5251,C4+
8012,12orGED
8013,12orGED
61,9-11
9456,12orGED
5250,12orGED
8017,C1-3
5249,9-11
8018,C4+
60,9-11
8091,12orGED
8092,C1-3
8093,C4+
5174,12orGED
9419,12orGED
8095,C1-3
8008,12orGED
8034,12orGED
9432,C1-3
58,C1-3
9431,12orGED
8040,12orGED
9422,12orGED
9416,1-8
8048,C1-3
8049,C1-3
8046,C4+
9415,C1-3
8041,12orGED
9414,12orGED
8030,12orGED
9413,1-8
8044,C4+
9417,C4+
8045,C4+
5170,C1-3
5169,C1-3
8029,C1-3
8004,C1-3
8005,12orGED
5168,C4+
9421,C1-3
8006,C4+
8007,1-8
5175,C4+
9418,C4+
8094,C1-3
8096,9-11
9398,12orGED
8000,C1-3
9447,C1-3
8057,C1-3
8058,C4+
8060,C1-3
9446,C1-3
8062,1-8
9394,C1-3
8056,12orGED
9393,12orGED
8051,C1-3
8052,9-11
9392,C1-3
8053,C1-3
8054,C1-3
8055,12orGED
5263,C1-3
8083,1-8
8063,12orGED
5262,12orGED
9390,1-8
57,C4+
8077,C1-3
56,12orGED
5261,C4+
5260,9-11
9399,12orGED
8079,12orGED
8080,C4+
8081,12orGED
8082,C1-3
8102,12orGED
54,C4+
8106,12orGED
8097,C1-3
9451,12orGED
55,9-11
8085,12orGED
9439,9-11
5253,C4+
8099,C1-3
9444,C1-3
5248,C4+
9443,9-11
8088,C1-3
8089,C1-3
8090,C1-3
8087,C4+
5244,9-11
9441,C1-3
8108,C1-3
9440,12orGED
8109,9-11
8110,12orGED
8107,C1-3
9450,C1-3
5245,9-11
8100,C1-3
9449,C1-3
5246,12orGED
8101,C1-3
52,C1-3
8104,12orGED
5238,12orGED
70,1-8
7950,12orGED
8281,12orGED
8282,C1-3
8283,12orGED
9469,C1-3
8284,12orGED
8285,9-11
30,C1-3
9461,12orGED
26,C1-3
9460,12orGED
8305,C4+
9459,1-8
25,9-11
8306,12orGED
24,12orGED
27,12orGED
8303,12orGED
9458,9-11
8298,9-11
8299,C1-3
4656,9-11
8300,12orGED
28,12orGED
9462,C1-3
8301,1-8
8215,12orGED
9463,9-11
8143,12orGED
4657,9-11
4658,C1-3
4665,12orGED
4661,12orGED
4659,12orGED
4662,1-8
15,12orGED
8330,12orGED
8332,9-11
8333,1-8
8334,12orGED
8335,C4+
8328,C4+
18,C1-3
4650,12orGED
21,12orGED
4649,12orGED
9466,C4+
20,C4+
4655,C4+
19,12orGED
8326,12orGED
8327,12orGED
8216,C4+
4663,12orGED
9468,12orGED
8287,9-11
31,12orGED
8289,C4+
8290,None
8291,12orGED
8292,C1-3
8293,C1-3
8294,12orGED
8286,1-8
4660,9-11
8138,C1-3
5237,C4+
9472,1-8
8115,12orGED
50,C4+
8117,9-11
9471,12orGED
8118,C4+
8119,1-8
8120,9-11
9470,12orGED
666,12orGED
4630,9-11
4629,C4+
9475,9-11
8135,12orGED
4628,C1-3
4627,C4+
4631,1-8
42,C1-3
8198,12orGED
8199,9-11
8200,12orGED
8201,C4+
8202,C1-3
8197,C1-3
8196,12orGED
8192,9-11
8194,C1-3
8195,C4+
8191,12orGED
8203,C4+
51,12orGED
8114,12orGED
8140,C4+
8121,C4+
45,12orGED
46,12orGED
9479,9-11
47,C1-3
9478,12orGED
9477,12orGED
43,C1-3
4634,C4+
4633,C1-3
4632,9-11
8149,C1-3
8146,C1-3
8144,12orGED
44,12orGED
8147,C4+
8148,C4+
9482,1-8
48,C1-3
8136,C4+
8125,9-11
8126,C1-3
8127,12orGED
8128,C1-3
8129,C1-3
8130,9-11
9476,12orGED
8131,1-8
4636,12orGED
8122,9-11
16,C4+
8329,9-11
9457,C1-3
9486,12orGED
8263,9-11
34,9-11
8265,12orGED
8266,9-11
9484,C1-3
8261,C1-3
8254,12orGED
5225,C4+
5228,1-8
9494,12orGED
9493,1-8
5230,12orGED
8268,1-8
8272,12orGED
33,9-11
8275,12orGED
9492,9-11
9491,9-11
8276,C4+
32,C1-3
9490,12orGED
8278,C4+
9489,C1-3
8270,12orGED
5226,C1-3
9519,12orGED
9518,C4+
8251,9-11
4653,12orGED
8262,9-11
5231,C1-3
8322,12orGED
5232,12orGED
9495,9-11
7944,C4+
7945,12orGED
5236,12orGED
72,9-11
5235,12orGED
5234,9-11
7947,C1-3
7949,9-11
9498,1-8
5233,C1-3
7954,C1-3
7964,12orGED
9500,C1-3
5239,C4+
7965,12orGED
7967,C1-3
9499,C1-3
7968,C1-3
67,C4+
7970,C1-3
5242,C4+
7955,C1-3
69,12orGED
636,12orGED
7959,1-8
9487,12orGED
7961,9-11
7962,C1-3
9516,12orGED
8271,9-11
8250,12orGED
8249,12orGED
8236,C4+
8234,12orGED
9502,9-11
8238,9-11
8239,12orGED
8240,12orGED
36,C1-3
8241,C1-3
9501,C4+
8279,12orGED
8280,C1-3
4647,1-8
9512,C1-3
8318,C1-3
9513,C1-3
8319,C4+
4646,C4+
8320,12orGED
8315,C1-3
8314,12orGED
22,12orGED
9511,12orGED
9510,1-8
8310,12orGED
9507,12orGED
4651,C1-3
8311,1-8
8312,C1-3
9483,12orGED
8235,1-8
8242,C4+
9503,C4+
8223,12orGED
8224,12orGED
9514,12orGED
8225,9-11
8226,12orGED
8227,9-11
8228,C1-3
8229,C1-3
9520,9-11
37,C4+
4652,12orGED
8231,1-8
8232,C1-3
8233,12orGED
8222,12orGED
8243,12orGED
8218,12orGED
8219,C4+
8220,12orGED
9524,12orGED
9523,C4+
664,C1-3
9522,C4+
9521,C4+
8244,1-8
8246,9-11
8247,1-8
4654,1-8
8248,C1-3
5183,12orGED
8033,C4+
8032,1-8
8449,C1-3
8447,C1-3
8453,1-8
5377,9-11
8454,C4+
8457,C4+
8470,C4+
8436,1-8
8415,12orGED
8416,9-11
9571,12orGED
9538,C4+
9536,12orGED
8412,9-11
8411,C1-3
5379,9-11
9535,1-8
9534,12orGED
8400,C1-3
8401,12orGED
8402,12orGED
8403,12orGED
8404,C1-3
8405,C4+
8406,C4+
8407,12orGED
8409,9-11
8410,9-11
5378,12orGED
9542,C4+
8450,C1-3
8448,9-11
5373,12orGED
9586,1-8
8396,12orGED
8443,9-11
5357,12orGED
5356,12orGED
8444,12orGED
5354,C1-3
5353,12orGED
9594,C4+
8445,9-11
9593,C1-3
8441,9-11
8440,9-11
5352,C4+
8437,12orGED
8438,9-11
9585,C1-3
8439,C4+
5358,1-8
8446,C1-3
8461,C1-3
633,C4+
8462,12orGED
9584,12orGED
9587,C1-3
8466,12orGED
8467,C4+
8460,9-11
8459,C4+
8458,12orGED
632,12orGED
8434,12orGED
8731,12orGED
8771,1-8
8772,C1-3
9559,12orGED
8773,12orGED
8774,1-8
8767,12orGED
5334,12orGED
9558,12orGED
8762,1-8
9557,C4+
8763,12orGED
8764,12orGED
5333,C1-3
8748,12orGED
5332,C4+
5331,12orGED
9556,C1-3
8766,C1-3
5330,12orGED
9560,12orGED
8747,9-11
9570,9-11
5328,C4+
8732,C4+
9569,12orGED
9568,12orGED
9567,C1-3
9566,C1-3
9565,1-8
9561,C4+
9544,1-8
8768,1-8
8435,1-8
8761,9-11
9540,C4+
8430,12orGED
8429,12orGED
8420,12orGED
5371,C4+
8422,C1-3
8423,C1-3
5375,C1-3
9530,12orGED
8425,C4+
9529,C1-3
8426,C1-3
8427,C1-3
8428,12orGED
8424,C4+
8614,C1-3
8755,C1-3
9528,1-8
8757,1-8
8758,12orGED
9527,12orGED
8759,C4+
8760,12orGED
5351,C4+
9533,12orGED
8750,C1-3
9531,9-11
8751,12orGED
8752,C4+
5359,12orGED
8,12orGED
5367,12orGED
5268,C4+
8544,C1-3
8546,1-8
8547,12orGED
8548,12orGED
8549,12orGED
8575,C4+
8563,9-11
5277,12orGED
8568,1-8
8569,C1-3
8570,12orGED
8571,9-11
8572,12orGED
8573,C4+
8574,C4+
5286,12orGED
8566,C1-3
5285,C1-3
8564,12orGED
5278,C1-3
5287,C1-3
5292,C1-3
9577,12orGED
5291,9-11
8567,9-11
5289,C1-3
8376,12orGED
8378,12orGED
9582,C1-3
8543,9-11
8550,12orGED
8355,C1-3
8562,1-8
8596,C1-3
5273,12orGED
8607,9-11
8608,C1-3
5272,C4+
8612,C1-3
8613,C4+
5271,C1-3
5266,12orGED
8598,9-11
8599,C4+
8600,C4+
8601,C1-3
8602,12orGED
8605,C1-3
5265,12orGED
8604,12orGED
8576,C1-3
8551,12orGED
8552,12orGED
8553,12orGED
8554,C4+
5267,12orGED
8555,C4+
8556,C4+
8558,C4+
8559,9-11
8561,9-11
5269,C1-3
5284,9-11
8375,12orGED
5280,C4+
8370,C1-3
8353,C1-3
8347,C1-3
8346,C4+
8338,12orGED
8339,12orGED
9574,12orGED
8340,C4+
8341,C4+
5365,C4+
8342,C4+
9592,C1-3
8343,C4+
12,12orGED
13,C1-3
5366,C1-3
8359,C1-3
8360,12orGED
8361,9-11
8362,12orGED
5370,C1-3
9590,9-11
9588,12orGED
8363,12orGED
5369,C1-3
8364,12orGED
8365,12orGED
8358,C1-3
5368,C1-3
8354,12orGED
5361,C1-3
5362,C1-3
8352,12orGED
8386,C4+
8371,12orGED
9580,12orGED
5279,12orGED
8372,12orGED
8374,12orGED
5,9-11
8379,C4+
9576,12orGED
9573,C1-3
8388,9-11
8391,12orGED
8394,12orGED
8395,12orGED
4,C4+
5363,12orGED
9572,C1-3
8381,C4+
8382,9-11
5282,C4+
8385,C1-3
5281,C4+
9575,C1-3
8367,1-8
5320,C1-3
8348,C1-3
8349,12orGED
9,12orGED
8351,12orGED
9564,C4+
8730,C1-3
8031,C4+
8646,C1-3
8639,12orGED
9601,9-11
9600,12orGED
9599,C4+
9598,12orGED
9596,12orGED
8700,1-8
5198,12orGED
8702,C1-3
8703,12orGED
