date,Age
5653,12
3791,8
3771,5
3747,11
3772,8
3698,8
5670,3
5671,8
5672,13
3700,3
5634,2
613,7
614,8
5636,11
3777,9
3776,9
3775,4
759,6
5633,10
5639,7
3779,9
5640,13
3774,13
3770,5
612,1
3769,10
3768,5
3767,7
3766,7
3765,11
5637,7
3764,9
3763,5
3773,7
5654,11
3742,11
3618,7
780,1
3598,6
3597,4
3605,9
3609,6
779,8
3606,6
5432,10
5434,8
3594,4
5435,12
3593,9
3592,9
5431,1
3596,9
5436,11
5440,8
5441,10
5442,8
5443,8
3595,1
3611,8
3622,3
5438,10
5470,7
5471,11
5472,7
3625,8
627,8
778,7
3599,10
3600,9
3740,1
3601,1
5641,8
3738,8
3737,8
3736,7
3741,7
5644,1
3759,6
5645,8
5646,9
3761,1
3760,13
5643,3
3758,7
3757,7
5448,10
3753,10
3752,7
3751,8
5447,13
3750,11
3754,6
3756,1
5445,11
3755,5
5446,5
5450,11
3604,8
3603,12
3602,2
3632,10
3631,13
3630,9
4025,6
3989,8
3988,3
3987,5
3986,13
5864,8
5865,9
3991,10
5863,9
3980,8
3979,2
3978,4
5861,4
3977,9
3976,7
5862,8
3983,9
5866,5
5867,13
3985,8
571,8
5869,7
3984,3
3982,8
4002,9
4001,8
4003,6
5885,6
5886,3
4005,12
4009,8
4026,1
563,7
4024,8
4011,7
5507,3
4010,9
5506,8
4013,2
5503,7
5504,5
5508,13
4020,7
4021,9
5513,8
5514,2
5515,7
625,1
4030,4
4029,11
5509,9
5510,12
4032,1
5563,8
4027,3
5875,10
5876,8
4022,7
5870,6
5871,4
5872,7
5873,10
4023,8
4008,11
4007,8
3629,11
5881,12
3828,7
3834,5
3833,7
5839,9
3831,13
5840,1
3842,7
751,2
582,3
3852,5
3853,4
583,3
3856,13
5843,7
577,5
3855,2
3854,13
3848,9
3847,9
5841,1
578,13
5832,9
3843,8
5833,13
3846,13
5834,8
3844,5
5831,8
585,10
5882,9
3829,3
564,11
3838,8
4006,12
5884,12
4000,7
3999,10
5883,5
3995,10
3994,7
5894,7
561,7
3993,10
5893,8
5892,13
3998,8
5888,13
562,4
5890,2
5891,7
3997,5
565,6
5880,7
3837,6
3836,10
566,9
567,9
569,3
3835,11
568,10
3841,9
3840,13
5505,3
742,4
5518,9
5557,4
5553,10
5554,9
5555,9
5556,5
3951,9
5562,9
623,9
3950,2
745,12
3955,3
3953,7
3962,9
5552,8
5544,6
3968,13
5546,5
5547,8
3969,4
3975,7
5542,11
3974,8
5543,7
3972,11
3971,6
3970,1
744,8
5551,7
5548,13
5549,10
3949,5
5559,9
5523,9
5561,2
5533,11
3637,12
5539,13
3635,7
3634,7
5540,13
5541,8
3648,2
5536,9
5538,7
5537,12
777,4
5529,13
3650,3
3649,9
3647,9
3646,6
3645,4
5528,1
3644,4
3643,5
3642,1
5532,4
5530,1
3958,6
3957,13
5558,11
5560,6
3960,4
3965,8
5550,11
743,10
5526,8
3947,9
5491,3
3946,9
5493,2
3945,1
5492,7
5486,13
5487,8
3932,10
5490,9
5489,6
748,13
5502,7
3931,8
3938,8
5521,7
3936,13
3935,7
3934,3
5520,3
4015,9
4014,4
5519,5
4016,13
5525,7
4019,12
5522,9
4018,4
4017,8
5479,3
5481,1
3939,8
5498,6
3928,11
5495,4
3927,7
5501,9
3930,10
3926,6
5500,1
3920,7
3919,2
3918,9
3917,3
3921,12
5497,8
5499,9
3940,8
3925,2
3924,6
5483,4
5484,4
3923,10
3922,1
5485,1
3944,10
3943,1
3942,7
3941,13
5478,7
5480,4
8583,7
5276,8
8584,1
73,5
5255,1
7940,2
7941,4
7936,12
7935,6
9387,7
5254,3
7932,7
7933,3
7934,7
7915,3
5258,12
9386,6
7914,10
7890,2
5257,10
85,7
7892,10
84,6
83,7
9410,7
7889,10
7881,10
5218,13
9408,8
5217,10
7882,7
7883,9
7884,13
5256,6
7937,1
7885,6
7931,9
8066,7
9397,12
8067,8
9395,6
8070,10
8071,5
8072,1
8073,3
8074,9
8068,7
8112,10
7999,1
7927,9
7928,12
7929,11
7930,2
75,3
9384,8
74,7
76,2
77,1
7924,3
7916,6
7920,9
9383,9
78,7
7921,3
7923,7
7925,7
87,7
9407,7
8064,13
7972,5
7974,6
7975,10
7983,9
7976,11
7977,8
66,7
7984,6
7994,9
5208,9
638,7
7995,10
7996,7
7997,10
639,5
7998,7
7992,8
7985,6
7986,6
7987,1
9404,13
637,11
7990,6
7971,6
5211,5
9497,11
5210,12
9496,7
71,9
7952,5
7973,11
7978,7
5216,6
9402,3
7887,7
7888,2
86,12
7894,8
7905,10
7906,1
7908,11
7909,7
7911,5
5215,8
80,9
7913,13
7904,11
7897,7
7899,6
7900,7
7901,8
7902,7
7903,9
7942,11
5222,7
65,6
9411,2
7979,10
9400,9
7981,9
7982,3
5220,8
5219,8
8065,5
8075,10
8585,13
64,8
9438,5
8001,5
8010,11
5172,6
8002,8
63,11
5252,7
8011,8
8023,8
8025,7
8026,12
8027,4
8028,11
9453,3
8022,8
8021,7
5251,4
8012,8
8013,8
61,8
9456,9
5250,10
8017,8
5249,8
8018,4
60,12
8091,11
8092,11
8093,8
5174,6
9419,7
8095,8
8008,10
8034,3
9432,9
58,3
9431,2
8040,2
9422,8
9416,12
8048,9
8049,4
8046,4
9415,6
8041,8
9414,6
8030,1
9413,10
8044,9
9417,11
8045,8
5170,1
5169,2
8029,8
8004,4
8005,12
5168,2
9421,9
8006,10
8007,9
5175,11
9418,12
8094,4
8096,2
9398,10
8000,1
9447,8
8057,9
8058,9
8060,9
9446,4
8062,10
9394,1
8056,5
9393,4
8051,1
8052,4
9392,5
8053,7
8054,8
8055,8
5263,9
8083,8
8063,6
5262,10
9390,2
57,13
8077,6
56,11
5261,5
5260,6
9399,1
8079,9
8080,8
8081,7
8082,4
8102,7
54,10
8106,7
8097,9
9451,10
55,1
8085,2
9439,13
5253,9
8099,5
9444,4
5248,1
9443,7
8088,7
8089,11
8090,3
8087,10
5244,13
9441,5
8108,12
9440,12
8109,9
8110,11
8107,11
9450,8
5245,12
8100,8
9449,8
5246,11
8101,11
52,1
8104,13
5238,13
70,5
7950,13
8281,1
8282,7
8283,9
9469,9
8284,13
8285,1
30,7
9461,12
26,6
9460,10
8305,8
9459,6
25,8
8306,2
24,4
27,11
8303,2
9458,11
8298,8
8299,1
4656,9
8300,6
28,9
9462,4
8301,7
8215,1
9463,8
8143,7
4657,6
4658,3
4665,3
4661,6
4659,8
4662,10
15,3
8330,13
8332,3
8333,7
8334,6
8335,7
8328,1
18,7
4650,7
21,13
4649,5
9466,7
20,5
4655,8
19,9
8326,6
8327,9
8216,7
4663,8
9468,7
8287,10
31,11
8289,6
8290,13
8291,5
8292,7
8293,7
8294,12
8286,6
4660,10
8138,8
5237,10
9472,9
8115,13
50,3
8117,8
9471,11
8118,1
8119,7
8120,12
9470,2
666,5
4630,7
4629,10
9475,6
8135,7
4628,8
4627,8
4631,11
42,9
8198,8
8199,13
8200,8
8201,8
8202,10
8197,1
8196,8
8192,13
8194,8
8195,8
8191,10
8203,4
51,9
8114,1
8140,8
8121,10
45,10
46,13
9479,2
47,8
9478,13
9477,6
43,9
4634,12
4633,4
4632,7
8149,11
8146,9
8144,11
44,7
8147,3
8148,8
9482,8
48,1
8136,1
8125,4
8126,8
8127,2
8128,6
8129,9
8130,10
9476,9
8131,12
4636,2
8122,8
16,9
8329,12
9457,11
9486,5
8263,12
34,5
8265,7
8266,11
9484,10
8261,8
8254,8
5225,8
5228,10
9494,9
9493,5
5230,7
8268,9
8272,9
33,11
8275,1
9492,7
9491,8
8276,7
32,12
9490,10
8278,3
9489,7
8270,5
5226,10
9519,6
9518,8
8251,9
4653,5
8262,8
5231,13
8322,11
5232,8
9495,3
7944,3
7945,9
5236,10
72,2
5235,13
5234,7
7947,7
7949,9
9498,11
5233,9
7954,10
7964,10
9500,8
5239,13
7965,3
7967,8
9499,11
7968,5
67,8
7970,3
5242,6
7955,1
69,1
636,13
7959,11
9487,8
7961,9
7962,7
9516,13
8271,1
8250,6
8249,12
8236,4
8234,6
9502,4
8238,12
8239,9
8240,8
36,10
8241,1
9501,8
8279,9
8280,10
4647,5
9512,1
8318,1
9513,1
8319,4
4646,3
8320,8
8315,13
8314,1
22,10
9511,4
9510,7
8310,5
9507,8
4651,8
8311,6
8312,10
9483,10
8235,11
8242,8
9503,6
8223,2
8224,13
9514,7
8225,4
8226,12
8227,6
8228,8
8229,7
9520,10
37,11
4652,4
8231,12
8232,2
8233,7
8222,6
8243,7
8218,11
8219,2
8220,5
9524,9
9523,11
664,3
9522,2
9521,10
8244,6
8246,7
8247,6
4654,8
8248,9
5183,7
8033,5
8032,11
8449,3
8447,9
8453,10
5377,1
8454,2
8457,9
8470,10
8436,13
8415,10
8416,5
9571,8
9538,8
9536,3
8412,6
8411,2
5379,8
9535,3
9534,10
8400,11
8401,1
8402,2
8403,7
8404,13
8405,7
8406,1
8407,10
8409,1
8410,9
5378,2
9542,13
8450,3
8448,8
5373,13
9586,12
8396,1
8443,12
5357,9
5356,8
8444,6
5354,5
5353,11
9594,12
8445,10
9593,1
8441,12
8440,11
5352,8
8437,7
8438,7
9585,4
8439,9
5358,12
8446,6
8461,5
633,10
8462,9
9584,9
9587,6
8466,7
8467,4
8460,9
8459,8
8458,8
632,9
8434,12
8731,6
8771,9
8772,1
9559,9
8773,4
8774,6
8767,4
5334,7
9558,10
8762,12
9557,6
8763,13
8764,9
5333,1
8748,3
5332,9
5331,6
9556,12
8766,1
5330,13
9560,1
8747,7
9570,5
5328,1
8732,10
9569,7
9568,8
9567,7
9566,6
9565,10
9561,3
9544,10
8768,13
8435,11
8761,7
9540,8
8430,3
8429,7
8420,8
5371,8
8422,3
8423,13
5375,10
9530,10
8425,6
9529,6
8426,4
8427,1
8428,8
8424,10
8614,3
8755,12
9528,5
8757,12
8758,3
9527,2
8759,8
8760,8
5351,9
9533,9
8750,4
9531,10
8751,8
8752,10
5359,4
8,1
5367,3
5268,5
8544,9
8546,3
8547,9
8548,5
8549,10
8575,1
8563,13
5277,11
8568,9
8569,6
8570,7
8571,11
8572,3
8573,13
8574,6
5286,13
8566,8
5285,5
8564,9
5278,4
5287,7
5292,11
9577,5
5291,7
8567,12
5289,9
8376,2
8378,8
9582,3
8543,8
8550,13
8355,7
8562,9
8596,13
5273,8
8607,5
8608,6
5272,8
8612,8
8613,9
5271,10
5266,7
8598,6
8599,11
8600,9
8601,9
8602,10
8605,5
5265,13
8604,11
8576,4
8551,9
8552,6
8553,8
8554,5
5267,8
8555,6
8556,1
8558,3
8559,6
8561,8
5269,2
5284,7
8375,5
5280,9
8370,8
8353,7
8347,3
8346,10
8338,13
8339,3
9574,5
8340,2
8341,3
5365,9
8342,7
9592,11
8343,1
12,8
13,7
5366,8
8359,1
8360,4
8361,5
8362,12
5370,1
9590,10
9588,9
8363,13
5369,4
8364,4
8365,9
8358,2
5368,13
8354,6
5361,4
5362,5
8352,6
8386,1
8371,8
9580,3
5279,9
8372,9
8374,13
5,3
8379,6
9576,7
9573,1
8388,7
8391,8
8394,7
8395,1
4,13
5363,7
9572,8
8381,7
8382,2
5282,11
8385,4
5281,1
9575,7
8367,5
5320,9
8348,6
8349,7
9,5
8351,8
9564,1
8730,4
8031,9
8646,7
8639,8
9601,6
9600,9
9599,9
9598,5
9596,1
8700,10
5198,7
8702,9
8703,7
8704,10
9607,8
9603,2
9605,1
5186,7
5185,13
8698,9
8697,3
5165,11
8691,2
8692,11
8707,5
5164,8
8693,7
9637,5
9636,11
8708,8
8719,10
8720,6
9602,11
8645,9
8724,8
9608,5
5202,10
8631,4
8632,9
9612,13
5207,7
8633,7
9611,6
9616,6
8628,4
8627,5
8626,6
8616,11
8617,2
9623,10
8619,6
8620,6
8638,10
8621,12
5205,6
8623,13
8624,11
5204,13
5203,4
5197,3
8642,5
8643,8
8644,2
9617,11
9610,1
8721,4
5167,2
9562,7
9630,1
8687,9
8688,10
8683,3
9429,10
8679,7
8680,10
8677,7
9427,11
5181,9
9426,5
9425,9
5179,3
5178,7
8337,10
8336,11
9424,5
5177,10
9423,9
8036,4
9430,12
5182,3
8037,12
9437,8
9436,9
8038,5
8039,6
9435,7
9434,6
9433,8
5184,8
9631,10
9634,8
8676,11
8725,5
9642,5
9644,5
8718,2
8717,1
8709,11
9643,4
8711,8
8712,10
8713,7
8714,8
8715,12
5166,11
9641,11
9640,10
8674,8
9632,7
5160,10
9629,6
8675,7
9628,7
9627,12
5159,9
9626,12
9625,3
8670,9
8671,3
8673,1
8690,4
8630,10
8629,9
640,7
8816,2
8814,10
9654,5
5347,4
9658,8
8806,8
8807,13
5346,7
9659,10
5345,8
8809,10
8810,11
9661,9
8813,1
9660,10
8825,6
8826,11
9648,6
8824,9
8820,8
8821,9
8822,8
8818,11
9645,1
5336,2
8823,9
8783,13
8784,9
8785,9
8786,6
5348,9
9655,7
8647,7
9657,9
5323,3
8726,9
8727,8
8728,9
9549,9
9548,13
5324,8
8729,6
9546,8
8743,4
5325,13
5327,5
9553,6
9555,6
8745,6
8746,1
8741,7
5326,7
8734,1
9554,12
8735,11
8736,1
8737,13
5349,11
8738,1
9552,8
9551,3
9550,10
8777,5
634,11
5338,9
5337,7
8789,2
5188,8
8653,13
8655,7
5187,5
8650,3
9664,8
5192,10
5191,9
9663,1
8651,8
8652,4
9666,8
8658,1
8659,10
8660,10
8661,8
8662,10
8663,8
5190,3
8664,13
8665,5
8666,7
8656,1
9615,11
9614,5
5200,2
8657,8
8649,8
8648,9
8654,10
9665,8
9668,1
8803,6
9653,7
8790,12
5264,7
9652,4
9651,10
8779,5
8791,7
8781,4
9662,3
8782,7
8792,5
5194,1
5193,13
9672,6
642,12
9671,13
8804,8
9670,5
9669,3
8793,2
8794,9
8795,5
8797,8
8798,5
8800,7
9674,6
8801,6
9675,13
3701,10
3705,7
3707,9
7144,10
7133,10
7121,10
7123,11
7124,11
7307,12
7346,3
7349,8
7350,6
7360,8
7365,10
7366,5
7342,7
7332,11
7333,10
7340,9
7099,10
7252,5
7256,11
7258,11
7260,9
7263,12
7265,9
7231,13
7238,9
7241,7
7245,9
7246,7
7295,9
7297,7
7152,7
7139,9
7301,9
7137,10
6608,7
6610,9
6643,10
6644,7
6647,8
6641,9
7173,11
7181,10
7170,10
7160,2
7165,4
7156,11
7185,5
7219,12
7221,13
7226,7
7209,8
7187,10
7192,10
7196,9
7199,3
7203,10
7109,9
7110,10
7112,5
7113,9
7107,12
7104,6
7136,12
7300,13
7286,11
6629,11
7045,12
393,7
535,8
599,8
394,9
859,6
857,9
49,11
274,8
390,7
641,13
795,13
271,6
697,9
914,10
570,8
147,7
494,11
798,5
149,9
750,8
800,10
574,7
801,2
279,12
155,6
40,11
942,6
916,9
715,7
495,8
7048,12
7275,9
7025,4
7278,9
7280,8
7096,8
7001,9
6978,7
6980,7
7013,9
7014,7
7015,10
7004,10
7011,6
6953,10
6957,6
6958,3
6959,13
6952,12
6944,13
6947,11
6973,10
6968,9
6971,6
7068,7
7057,9
7060,8
7071,9
7088,11
7084,10
7032,9
7024,10
6632,7
6627,8
6239,12
6723,10
6730,11
6732,13
6826,12
6909,4
6912,7
6913,10
6915,6
6900,8
6901,9
6903,8
6931,10
6932,9
6933,5
6936,8
6919,8
6698,3
6854,9
6855,11
6856,10
6850,5
6833,10
6835,9
6838,6
6839,12
6842,6
6843,8
6885,9
6889,12
6881,10
6725,10
6733,12
6865,11
6741,8
8959,10
7371,4
7368,7
6782,4
6783,13
6759,13
6760,10
6768,11
6773,10
6776,13
6780,12
6812,10
6813,8
6818,1
6822,10
6809,10
6790,11
6793,8
6802,13
6807,5
6808,7
6751,6
6713,8
6715,12
6703,13
6707,7
6719,4
6736,8
6739,9
6861,11
6868,12
6624,4
6440,6
6485,4
6498,12
6500,9
6504,8
6472,11
6471,11
6443,11
6444,10
6449,9
6455,13
6456,8
6457,7
6459,8
6461,12
6465,11
6666,12
6670,12
6671,11
6662,11
6651,9
6658,6
6672,12
6688,11
6693,5
6678,8
6680,8
6681,8
6684,10
6604,8
6441,7
6407,12
6870,5
6402,8
6874,7
6697,9
6546,9
6549,3
6517,7
6520,7
6525,9
6583,6
6589,1
6590,11
6591,11
6601,10
6582,3
6567,8
6568,2
6569,6
6508,6
6574,8
6577,9
6579,10
6505,8
6417,12
6419,3
6421,8
6422,8
6423,9
6431,7
6398,9
6399,5
739,5
197,9
277,7
218,11
631,10
769,12
444,7
606,9
823,10
764,8
684,7
824,10
450,13
446,7
763,3
92,9
730,11
765,7
1010,9
1009,10
731,12
782,5
245,10
944,9
674,11
608,9
722,10
250,11
723,7
478,8
719,13
783,10
413,11
437,13
549,9
671,10
102,12
79,11
945,9
81,7
518,11
689,13
243,12
519,11
676,13
675,6
946,9
422,6
469,9
123,11
421,11
735,7
82,8
773,5
438,13
96,7
99,4
105,9
682,9
726,8
774,8
767,13
655,9
604,5
770,7
888,13
560,5
785,9
382,9
6161,9
6257,6
6159,9
6256,6
6163,1
6209,7
6162,6
6158,11
6157,8
6258,10
6156,10
6210,9
6230,8
6188,12
6187,8
6189,6
6242,5
6184,1
6227,7
6186,4
6229,6
6190,12
6235,5
6233,9
6193,5
6195,8
6234,7
6198,4
6196,3
6231,6
6160,9
6262,4
62,6
6263,7
626,7
68,6
476,7
479,8
905,10
818,11
904,7
480,13
871,11
411,6
6164,7
6255,13
525,11
6167,10
521,1
6217,7
6169,9
6207,3
6208,8
6253,6
527,4
6211,11
528,10
6154,1
6259,8
6260,9
6212,7
6152,6
6151,7
628,8
873,10
602,6
649,1
331,10
809,7
7,9
808,8
328,13
967,9
303,8
927,7
330,9
185,7
343,10
746,12
936,8
926,11
35,10
165,9
337,8
596,4
336,11
935,8
804,10
339,7
14,12
314,7
932,10
965,9
504,6
309,8
807,7
970,8
665,10
454,9
909,8
381,13
572,6
400,10
753,6
908,9
943,7
669,7
206,9
486,8
261,10
259,9
667,11
866,7
609,11
906,8
670,8
137,13
539,5
59,9
650,5
402,12
489,8
490,7
648,9
53,12
624,5
265,11
752,9
537,8
308,10
312,7
17,8
964,8
973,5
802,10
191,10
978,12
38,9
508,11
580,12
581,9
963,7
357,9
3,4
836,7
747,9
353,11
162,7
161,5
976,7
426,9
1003,5
425,8
760,7
88,7
463,12
677,10
428,4
427,11
545,10
233,10
877,8
344,8
292,5
6,7
321,11
930,8
325,6
324,10
11,9
617,11
10,13
29,13
323,11
173,7
317,9
23,11
316,13
806,8
363,10
922,9
579,12
847,10
962,12
981,7
371,11
741,7
644,6
372,13
157,11
975,7
349,11
844,7
352,12
8954,9
8952,5
8951,13
8009,11
8015,12
8016,9
7938,11
7939,10
7943,9
7946,9
7948,11
7951,10
7956,11
7957,13
7958,13
7960,5
7963,9
7966,10
7969,6
7953,6
8019,8
7763,9
7771,2
7773,10
7774,9
7783,9
7785,8
7787,10
7788,8
7789,8
7792,10
7793,7
7760,10
8014,7
8003,8
7739,7
7993,10
7464,9
7471,13
7472,7
7473,8
7475,6
7476,8
7482,13
7484,8
7498,11
7502,7
7508,8
7910,8
7912,10
7917,10
7918,8
7919,9
7922,9
7926,9
7907,9
7886,10
7891,13
7893,10
7895,9
7896,9
7898,8
7980,5
7988,9
7989,13
7991,7
7727,12
7744,8
9216,10
9620,7
9618,8
9175,9
9613,6
9176,11
9609,13
9606,9
9604,10
9181,5
9656,4
9144,11
9145,8
9650,8
9649,6
9647,8
9646,7
9151,9
9639,10
9638,10
9635,7
9158,10
9633,13
9182,7
9597,11
9203,8
9581,7
9579,12
9207,5
9208,10
9578,9
9619,13
9621,11
7747,9
9622,9
7748,11
7749,9
7754,8
7756,8
7758,10
7794,10
7848,5
7849,7
7853,12
7858,7
7862,7
7863,8
7868,9
7871,13
7872,8
7874,5
7832,6
7796,8
7798,7
7800,8
7804,7
7875,8
7807,9
7812,9
7814,8
8640,13
8641,7
9162,10
9624,6
7463,8
7514,5
7515,9
8481,7
8485,8
8490,13
8463,12
8431,10
8432,6
8433,6
8493,9
8442,8
8451,7
8452,9
8455,10
8456,9
7588,9
7599,12
7600,9
7602,10
7603,8
7604,8
7605,12
7607,9
7611,7
7615,5
7616,7
7620,5
7621,13
7566,9
7567,9
7572,8
7573,9
8482,11
8480,5
7554,8
8478,9
8494,7
8398,7
8399,6
8408,12
8413,8
8414,6
8417,12
8418,9
8419,8
8421,7
8397,8
8393,13
8390,8
8366,9
8368,7
8369,7
8373,9
8377,12
8380,6
8383,11
8384,12
8387,7
8389,13
8392,4
8464,5
8465,12
8468,4
8469,7
8474,12
7574,12
7580,10
7581,8
7582,13
7443,13
7444,7
7445,6
7450,13
7451,9
7452,6
7455,10
7456,4
7424,11
7374,12
7379,10
7385,9
7386,6
7388,11
7391,6
7394,5
7401,11
7406,7
7416,10
7460,11
7518,8
7521,11
7526,9
7527,8
7528,8
7532,8
7538,5
7539,9
7547,6
7441,9
7439,13
7434,11
7624,9
7583,5
7676,8
7685,6
7690,7
7694,13
7698,11
7708,7
7710,10
7713,10
7715,10
7719,9
