date,Fruits
550,1
3885,1
3884,1
749,0
5945,1
3873,0
3872,1
559,1
3875,1
558,0
3879,0
3878,0
5905,0
3876,1
3877,1
5906,0
3870,0
3863,1
3899,0
3864,0
3900,1
3914,1
3913,0
3912,1
551,1
5927,1
3901,1
553,0
3916,0
3915,1
552,0
5928,0
5934,1
3907,1
3906,0
3905,1
3904,1
3903,0
3902,0
5929,0
3911,1
5930,0
5931,1
5932,1
3909,0
3910,0
5947,1
5948,1
3865,0
5124,0
5123,0
5688,1
5044,1
5045,1
5305,1
5304,0
5774,1
598,0
5775,0
5301,1
5777,0
5300,0
5782,0
5781,1
5783,1
5778,1
5307,0
5306,0
5779,1
635,1
6675,0
6754,0
8514,1
5293,1
8516,0
8517,1
8518,0
5295,1
5298,0
8509,0
8510,0
8511,1
5776,1
5786,1
5297,1
5789,0
5065,0
5067,0
5772,1
5066,0
5768,0
5769,1
5042,0
5770,1
5755,1
5749,0
5750,0
5751,0
5752,0
5753,1
5754,1
5758,0
5759,1
5760,0
5761,1
5762,0
5040,0
5038,0
5037,0
5756,1
5757,0
5048,0
5047,0
5049,1
5788,1
8512,1
8532,1
5689,1
8477,0
5309,0
5308,1
8501,1
8502,0
8503,0
8504,0
8505,0
5311,1
8506,0
8500,1
8491,1
8492,0
8495,0
8497,1
8499,1
8496,1
8541,1
8586,1
8587,1
8589,0
8590,0
8591,1
8592,1
8593,1
8595,1
8577,0
8579,0
5270,0
8581,0
5310,1
8476,0
8533,0
8475,1
8534,0
5316,0
8537,0
8538,0
8539,1
8530,1
8529,0
8520,1
8521,0
8522,1
8526,1
8527,0
8528,1
8524,0
8507,1
5319,1
8483,1
8484,1
5318,0
8486,1
8487,0
8488,1
8489,0
5317,1
8479,0
5315,0
8471,1
8472,0
8473,0
5062,1
5063,1
5064,1
5704,0
5703,1
5707,0
5026,1
5710,0
5708,1
5709,1
5027,1
5028,0
5801,0
593,0
592,0
4986,0
5799,1
4985,0
594,0
4988,1
4987,1
4983,1
4978,0
5803,0
4977,0
4976,1
4975,1
4974,1
4973,0
5794,1
4981,0
4980,0
5790,0
5032,1
5700,1
5765,1
5033,0
5127,0
5129,0
5128,0
5684,0
5019,1
5686,1
5018,0
5017,0
5016,0
5020,0
5021,1
5714,1
5715,0
5713,1
5024,0
5023,0
5712,0
5022,1
5010,1
5716,0
5011,1
5015,1
5014,1
5012,1
5030,1
5029,1
5705,0
5706,1
5699,1
597,0
5793,1
5791,0
5004,1
5824,1
5827,1
5825,1
5058,0
5826,1
5056,0
5818,1
5050,1
5811,1
589,0
5812,0
590,0
5807,1
591,1
5051,0
5070,0
5068,0
588,0
5813,0
5815,0
5816,0
5071,0
5075,0
647,0
5767,0
5074,1
5073,1
600,0
5072,0
5060,1
5055,0
5829,1
4990,1
5003,1
5002,0
595,0
5798,0
5007,1
5006,0
5005,1
5001,0
4994,0
4993,1
4992,1
4991,1
5806,1
587,0
5052,0
5822,0
652,0
5823,0
4995,0
5000,1
4999,0
4997,1
651,1
5819,1
5036,0
5054,0
5828,1
586,1
5837,1
3826,1
4645,0
3584,1
5398,1
3590,1
5396,0
3589,1
3588,0
3587,0
5395,0
3586,0
5406,0
5407,1
5405,1
781,0
3577,1
5409,1
5408,1
3576,1
5400,1
5402,0
5403,1
3578,0
5401,0
3581,1
3579,0
5384,0
3580,1
3627,0
3628,1
5387,1
5382,1
3582,1
3585,1
775,1
5466,0
3612,0
3620,0
3619,0
5474,0
771,1
5475,0
3571,1
3570,1
3569,1
5457,1
5458,0
784,1
3572,1
3574,1
5460,0
5456,0
3573,0
5453,0
5454,1
5455,1
5461,1
5467,0
3562,1
3561,1
3563,1
5462,1
5463,0
5464,0
5465,1
5383,0
5391,1
3615,1
3681,1
3672,1
3667,1
3666,1
5415,1
5416,0
3665,0
3664,1
5410,0
5411,0
5412,1
3671,1
3670,0
3668,0
5413,0
5414,1
5421,1
5419,1
3639,1
629,1
5420,0
5418,1
630,1
5417,1
5477,1
3641,1
3640,0
5534,1
5535,1
3633,0
5427,0
5426,0
5392,1
5425,1
5393,1
3661,0
3660,1
5388,1
5390,1
3654,0
3653,0
5389,1
3652,0
5424,1
3655,0
3656,1
776,1
3659,1
3658,0
5422,0
5423,1
3657,1
3663,1
3680,0
3679,1
3678,0
3677,1
772,1
3676,0
5430,1
3675,1
3674,1
3682,0
5469,1
3617,1
3827,0
3793,1
3790,0
5626,1
615,0
5630,1
3792,1
758,0
3796,0
3795,0
3794,1
5629,1
3782,0
3781,1
3780,0
3784,0
5648,1
5649,1
5650,1
3786,1
3785,0
3783,1
5647,0
3762,1
3746,0
3745,0
3744,0
3749,1
5652,0
3748,1
5653,0
3791,0
3771,1
3747,1
3772,0
3698,1
5670,0
5671,0
5672,1
3700,0
5634,0
613,0
614,1
5636,0
3777,0
3776,1
3775,0
759,1
5633,0
5639,1
3779,0
5640,1
3774,0
3770,1
612,1
3769,1
3768,0
3767,1
3766,0
3765,1
5637,1
3764,1
3763,0
3773,1
5654,1
3742,0
3618,0
780,0
3598,0
3597,0
3605,1
3609,1
779,0
3606,0
5432,1
5434,1
3594,1
5435,1
3593,0
3592,1
5431,1
3596,1
5436,1
5440,0
5441,1
5442,0
5443,0
3595,0
3611,0
3622,1
5438,1
5470,0
5471,0
5472,0
3625,0
627,1
778,1
3599,0
3600,1
3740,1
3601,0
5641,1
3738,1
3737,0
3736,0
3741,1
5644,0
3759,0
5645,0
5646,1
3761,0
3760,1
5643,1
3758,0
3757,1
5448,1
3753,0
3752,0
3751,1
5447,1
3750,1
3754,0
3756,0
5445,0
3755,1
5446,1
5450,1
3604,0
3603,0
3602,0
3632,1
3631,1
3630,1
4025,0
3989,1
3988,1
3987,0
3986,1
5864,1
5865,1
3991,0
5863,1
3980,1
3979,0
3978,1
5861,1
3977,1
3976,0
5862,0
3983,0
5866,1
5867,1
3985,0
571,0
5869,1
3984,1
3982,0
4002,1
4001,0
4003,0
5885,0
5886,0
4005,0
4009,1
4026,0
563,0
4024,0
4011,0
5507,0
4010,1
5506,1
4013,0
5503,1
5504,1
5508,1
4020,0
4021,1
5513,0
5514,0
5515,0
625,0
4030,0
4029,0
5509,1
5510,0
4032,0
5563,1
4027,1
5875,1
5876,0
4022,1
5870,0
5871,0
5872,1
5873,1
4023,0
4008,0
4007,0
3629,1
5881,1
3828,0
3834,0
3833,0
5839,1
3831,1
5840,1
3842,0
751,1
582,1
3852,0
3853,0
583,0
3856,1
5843,0
577,0
3855,1
3854,1
3848,0
3847,1
5841,1
578,1
5832,1
3843,0
5833,0
3846,1
5834,1
3844,0
5831,0
585,0
5882,0
3829,0
564,1
3838,1
4006,1
5884,1
4000,1
3999,0
5883,0
3995,1
3994,1
5894,1
561,1
3993,1
5893,0
5892,1
3998,0
5888,0
562,1
5890,1
5891,1
3997,1
565,0
5880,0
3837,1
3836,1
566,1
567,1
569,0
3835,1
568,0
3841,1
3840,0
5505,0
742,1
5518,1
5557,1
5553,1
5554,1
5555,0
5556,1
3951,0
5562,0
623,1
3950,0
745,1
3955,1
3953,0
3962,1
5552,0
5544,1
3968,1
5546,1
5547,1
3969,0
3975,0
5542,1
3974,1
5543,0
3972,1
3971,1
3970,1
744,1
5551,0
5548,0
5549,0
3949,1
5559,1
5523,1
5561,0
5533,1
3637,1
5539,1
3635,1
3634,0
5540,0
5541,0
3648,0
5536,1
5538,1
5537,1
777,0
5529,0
3650,0
3649,1
3647,1
3646,0
3645,1
5528,0
3644,1
3643,1
3642,1
5532,0
5530,1
3958,1
3957,0
5558,1
5560,0
3960,1
3965,0
5550,1
743,0
5526,0
3947,0
5491,1
3946,1
5493,0
3945,1
5492,0
5486,0
5487,0
3932,1
5490,1
5489,0
748,1
5502,0
3931,1
3938,1
5521,1
3936,1
3935,0
3934,0
5520,0
4015,0
4014,0
5519,1
4016,1
5525,0
4019,1
5522,1
4018,0
4017,1
5479,1
5481,0
3939,0
5498,0
3928,0
5495,0
3927,1
5501,0
3930,0
3926,0
5500,1
3920,0
3919,1
3918,0
3917,0
3921,0
5497,0
5499,0
3940,1
3925,0
3924,1
5483,1
5484,1
3923,0
3922,1
5485,1
3944,0
3943,0
3942,0
3941,0
5478,0
5480,1
8583,0
5276,1
8584,1
73,1
5255,1
7940,0
7941,1
7936,1
7935,1
9387,0
5254,1
7932,1
7933,1
7934,1
7915,1
5258,1
9386,0
7914,1
7890,1
5257,0
85,1
7892,0
84,1
83,1
9410,0
7889,0
7881,1
5218,0
9408,1
5217,0
7882,0
7883,0
7884,0
5256,1
7937,1
7885,0
7931,0
8066,1
9397,1
8067,1
9395,0
8070,0
8071,0
8072,1
8073,1
8074,1
8068,0
8112,1
7999,1
7927,0
7928,1
7929,0
7930,0
75,0
9384,1
74,1
76,1
77,0
7924,1
7916,0
7920,1
9383,1
78,1
7921,0
7923,1
7925,1
87,1
9407,0
8064,1
7972,1
7974,1
7975,1
7983,0
7976,1
7977,1
66,0
7984,1
7994,0
5208,0
638,0
7995,1
7996,1
7997,1
639,0
7998,1
7992,0
7985,0
7986,1
7987,0
9404,1
637,1
7990,1
7971,1
5211,1
9497,0
5210,1
9496,1
71,0
7952,0
7973,0
7978,0
5216,0
9402,1
7887,0
7888,0
86,1
7894,0
7905,1
7906,0
7908,1
7909,0
7911,1
5215,1
80,0
7913,1
7904,1
7897,0
7899,0
7900,1
7901,1
7902,1
7903,1
7942,1
5222,1
65,1
9411,1
7979,1
9400,1
7981,1
7982,1
5220,0
5219,0
8065,0
8075,0
8585,1
64,1
9438,0
8001,0
8010,1
5172,0
8002,0
63,1
5252,0
8011,0
8023,0
8025,1
8026,0
8027,1
8028,0
9453,0
8022,0
8021,1
5251,0
8012,1
8013,0
61,1
9456,1
5250,1
8017,0
5249,0
8018,0
60,1
8091,1
8092,1
8093,0
5174,1
9419,0
8095,1
8008,0
8034,1
9432,0
58,0
9431,0
8040,1
9422,0
9416,1
8048,0
8049,0
8046,1
9415,0
8041,0
9414,1
8030,0
9413,0
8044,0
9417,1
8045,0
5170,1
5169,1
8029,1
8004,1
8005,1
5168,0
9421,1
8006,0
8007,1
5175,1
9418,1
8094,1
8096,1
9398,1
8000,1
9447,1
8057,0
8058,1
8060,0
9446,1
8062,1
9394,1
8056,0
9393,1
8051,0
8052,0
9392,0
8053,1
8054,0
8055,1
5263,1
8083,1
8063,0
5262,1
9390,1
57,1
8077,0
56,1
5261,1
5260,0
9399,0
8079,1
8080,0
8081,1
8082,1
8102,1
54,1
8106,1
8097,0
9451,1
55,0
8085,1
9439,1
5253,0
8099,0
9444,0
5248,0
9443,0
8088,0
8089,1
8090,1
8087,1
5244,1
9441,1
8108,0
9440,0
8109,0
8110,1
8107,1
9450,0
5245,0
8100,0
9449,1
5246,0
8101,1
52,0
8104,1
5238,0
70,1
7950,1
8281,1
8282,0
8283,1
9469,0
8284,1
8285,0
30,1
9461,0
26,0
9460,0
8305,0
9459,1
25,1
8306,1
24,0
27,0
8303,0
9458,1
8298,0
8299,0
4656,1
8300,0
28,0
9462,1
8301,0
8215,0
9463,0
8143,1
4657,0
4658,0
4665,1
4661,1
4659,1
4662,1
15,1
8330,1
8332,0
8333,1
8334,0
8335,1
8328,0
18,1
4650,0
21,0
4649,1
9466,1
20,1
4655,0
19,1
8326,0
8327,0
8216,1
4663,0
9468,0
8287,0
31,1
8289,1
8290,1
8291,0
8292,1
8293,1
8294,0
8286,1
4660,1
8138,1
5237,0
9472,0
8115,1
50,1
8117,0
9471,1
8118,0
8119,1
8120,1
9470,0
666,1
4630,0
4629,1
9475,0
8135,0
4628,1
4627,1
4631,1
42,1
8198,0
8199,0
8200,0
8201,1
8202,0
8197,1
8196,1
8192,1
8194,1
8195,0
8191,0
8203,1
51,0
8114,1
8140,0
8121,1
45,0
46,1
9479,1
47,0
9478,0
9477,0
43,1
4634,0
4633,0
4632,1
8149,1
8146,0
8144,0
44,0
8147,1
8148,1
9482,1
48,0
8136,0
8125,0
8126,1
8127,0
8128,1
8129,0
8130,0
9476,0
8131,0
4636,0
8122,1
16,0
8329,1
9457,1
9486,0
8263,0
34,0
8265,1
8266,1
9484,0
8261,0
8254,1
5225,1
5228,1
9494,0
9493,1
5230,1
8268,1
8272,0
33,1
8275,1
9492,0
9491,0
8276,1
32,1
9490,0
8278,1
9489,0
8270,0
5226,1
9519,0
9518,0
8251,1
4653,0
8262,1
5231,1
8322,1
5232,0
9495,1
7944,0
7945,0
5236,1
72,0
5235,1
5234,0
7947,1
7949,0
9498,0
5233,0
7954,1
7964,0
9500,0
5239,1
7965,1
7967,0
9499,1
7968,1
67,0
7970,0
5242,1
7955,1
69,0
636,1
7959,1
9487,0
7961,1
7962,1
9516,1
8271,1
8250,0
8249,1
8236,0
8234,0
9502,0
8238,0
8239,1
8240,1
36,0
8241,0
9501,0
8279,0
8280,1
4647,0
9512,1
8318,1
9513,1
8319,0
4646,0
8320,0
8315,1
8314,0
22,1
9511,1
9510,0
8310,1
9507,0
4651,0
8311,1
8312,0
9483,0
8235,0
8242,1
9503,1
8223,1
8224,1
9514,0
8225,0
8226,1
8227,0
8228,0
8229,1
9520,1
37,1
4652,1
8231,1
8232,1
8233,1
8222,1
8243,0
8218,1
8219,1
8220,1
9524,0
9523,1
664,1
9522,0
9521,1
8244,1
8246,0
8247,1
4654,1
8248,1
5183,0
8033,0
8032,1
8449,1
8447,1
8453,0
5377,1
8454,1
8457,1
8470,1
8436,1
8415,1
8416,0
9571,1
9538,0
9536,0
8412,0
8411,1
5379,0
9535,1
9534,0
8400,0
8401,0
8402,1
8403,0
8404,1
8405,1
8406,0
8407,0
8409,1
8410,0
5378,0
9542,1
8450,0
8448,1
5373,1
9586,1
8396,0
8443,0
5357,0
5356,0
8444,0
5354,0
5353,0
9594,1
8445,0
9593,0
8441,1
8440,0
5352,1
8437,1
8438,0
9585,0
8439,1
5358,0
8446,0
8461,0
633,1
8462,0
9584,0
9587,1
8466,0
8467,0
8460,0
8459,1
8458,0
632,1
8434,0
8731,0
8771,0
8772,1
9559,0
8773,1
8774,1
8767,1
5334,0
9558,0
8762,1
9557,1
8763,1
8764,1
5333,1
8748,1
5332,1
5331,0
9556,0
8766,1
5330,1
9560,1
8747,0
9570,0
5328,0
8732,0
9569,0
9568,0
9567,0
9566,1
9565,0
9561,0
9544,1
8768,1
8435,1
8761,0
9540,0
8430,0
8429,0
8420,1
5371,0
8422,0
8423,0
5375,1
9530,1
8425,1
9529,0
8426,0
8427,1
8428,0
8424,1
8614,1
8755,1
9528,1
8757,0
8758,0
9527,1
8759,1
8760,0
5351,1
9533,0
8750,1
9531,1
8751,0
8752,0
5359,1
8,0
5367,1
5268,0
8544,0
8546,1
8547,1
8548,1
8549,1
8575,1
8563,1
5277,1
8568,0
8569,0
8570,0
8571,0
8572,0
8573,1
8574,1
5286,1
8566,0
5285,1
8564,1
5278,0
5287,0
5292,1
9577,0
5291,1
8567,1
5289,0
8376,1
8378,0
9582,0
8543,1
8550,0
8355,0
8562,0
8596,1
5273,0
8607,0
8608,1
5272,0
8612,1
8613,1
5271,1
5266,1
8598,0
8599,1
8600,1
8601,1
8602,0
8605,0
5265,1
8604,0
8576,1
8551,1
8552,1
8553,1
8554,0
5267,0
8555,1
8556,1
8558,1
8559,0
8561,0
5269,0
5284,1
8375,1
5280,0
8370,1
8353,0
8347,1
8346,1
8338,0
8339,0
9574,0
8340,1
8341,0
5365,1
8342,1
9592,1
8343,1
12,0
13,1
5366,1
8359,0
8360,0
8361,0
8362,1
5370,1
9590,0
9588,1
8363,1
5369,1
8364,1
8365,0
8358,0
5368,1
8354,0
5361,1
5362,0
8352,0
8386,1
8371,0
9580,0
5279,0
8372,0
8374,0
5,1
8379,0
9576,1
9573,0
8388,0
8391,0
8394,1
8395,1
4,0
5363,0
9572,1
8381,0
8382,0
5282,0
8385,1
5281,0
9575,0
8367,0
5320,1
8348,0
8349,1
9,1
8351,0
9564,1
8730,0
8031,0
8646,1
8639,1
9601,1
9600,1
9599,0
9598,1
9596,0
8700,0
5198,1
8702,1
8703,0
8704,1
9607,0
9603,0
9605,1
5186,1
5185,1
8698,0
8697,0
5165,1
8691,1
8692,1
8707,1
5164,1
8693,0
9637,0
9636,1
8708,0
8719,1
8720,0
9602,1
8645,1
8724,0
9608,1
5202,1
8631,1
8632,0
9612,1
5207,1
8633,1
9611,1
9616,0
8628,1
8627,0
8626,1
8616,1
8617,1
9623,1
8619,1
8620,0
8638,0
8621,1
5205,0
8623,0
8624,0
5204,1
5203,1
5197,0
8642,0
8643,0
8644,1
9617,0
9610,1
8721,0
5167,0
9562,1
9630,0
8687,1
8688,0
8683,1
9429,0
8679,1
8680,1
8677,0
9427,0
5181,1
9426,0
9425,1
5179,0
5178,1
8337,0
8336,0
9424,0
5177,1
9423,1
8036,0
9430,1
5182,1
8037,1
9437,1
9436,0
8038,1
8039,1
9435,1
9434,1
9433,0
5184,0
9631,1
9634,1
8676,1
8725,1
9642,0
9644,0
8718,1
8717,0
8709,1
9643,0
8711,1
8712,1
8713,0
8714,0
8715,0
5166,0
9641,1
9640,1
8674,0
9632,0
5160,1
9629,0
8675,1
9628,1
9627,0
5159,1
9626,0
9625,0
8670,0
8671,0
8673,0
8690,1
8630,1
8629,0
640,0
8816,0
8814,1
9654,1
5347,1
9658,0
8806,1
8807,0
5346,1
9659,0
5345,1
8809,0
8810,0
9661,0
8813,0
9660,0
8825,0
8826,1
9648,0
8824,1
8820,0
8821,1
8822,1
8818,0
9645,0
5336,0
8823,1
8783,1
8784,0
8785,0
8786,1
5348,0
9655,0
8647,0
9657,0
5323,1
8726,1
8727,0
8728,0
9549,1
9548,1
5324,1
8729,0
9546,0
8743,1
5325,1
5327,1
9553,0
9555,1
8745,1
8746,1
8741,1
5326,0
8734,1
9554,1
8735,0
8736,1
8737,0
5349,1
8738,1
9552,0
9551,0
9550,1
8777,0
634,1
5338,0
5337,0
8789,1
5188,0
8653,1
8655,1
5187,1
8650,1
9664,0
5192,1
5191,0
9663,1
8651,1
8652,0
9666,1
8658,1
8659,1
8660,1
8661,1
8662,1
8663,0
5190,0
8664,1
8665,0
8666,0
8656,0
9615,0
9614,0
5200,0
8657,1
8649,0
8648,1
8654,1
9665,1
9668,1
8803,0
9653,1
8790,0
5264,1
9652,0
9651,0
8779,1
8791,0
8781,1
9662,1
8782,1
8792,0
5194,1
5193,1
9672,0
642,1
9671,1
8804,0
9670,1
9669,0
8793,0
8794,1
8795,0
8797,1
8798,1
8800,0
9674,0
8801,0
9675,1
3701,0
3705,0
3707,1
7144,0
7133,0
7121,0
7123,0
7124,1
7307,1
7346,1
7349,1
7350,1
7360,1
7365,0
7366,1
7342,0
7332,1
7333,0
7340,1
7099,1
7252,1
7256,1
7258,1
7260,0
7263,1
7265,1
7231,0
7238,0
7241,1
7245,1
7246,1
7295,0
7297,0
7152,0
7139,1
7301,0
7137,0
6608,0
6610,1
6643,1
6644,1
6647,0
6641,0
7173,1
7181,1
7170,1
7160,1
7165,0
7156,0
7185,1
7219,1
7221,0
7226,0
7209,1
7187,0
7192,0
7196,0
7199,0
7203,0
7109,1
7110,1
7112,0
7113,0
7107,0
7104,1
7136,1
7300,1
7286,0
6629,0
7045,1
393,0
535,0
599,1
394,0
859,0
857,0
49,1
274,1
390,1
641,1
795,1
271,0
697,0
914,0
570,1
147,1
494,0
798,0
149,0
750,0
800,1
574,0
801,0
279,0
155,0
40,1
942,0
916,1
715,0
495,0
7048,0
7275,0
7025,0
7278,0
7280,1
7096,0
7001,0
6978,1
6980,0
7013,1
7014,1
7015,0
7004,0
7011,1
6953,0
6957,0
6958,1
6959,0
6952,1
6944,1
6947,1
6973,1
6968,0
6971,0
7068,0
7057,0
7060,1
7071,1
7088,1
7084,1
7032,1
7024,1
6632,1
6627,0
6239,1
6723,0
6730,0
6732,0
6826,0
6909,0
6912,1
6913,1
6915,1
6900,0
6901,0
6903,0
6931,1
6932,0
6933,1
6936,0
6919,0
6698,0
6854,1
6855,1
6856,0
6850,1
6833,0
6835,0
6838,1
6839,1
6842,0
6843,0
6885,0
6889,1
6881,0
6725,1
6733,1
6865,0
6741,1
8959,0
7371,1
7368,1
6782,0
6783,0
6759,1
6760,1
6768,0
6773,1
6776,1
6780,1
6812,0
6813,0
6818,0
6822,0
6809,0
6790,1
6793,1
6802,0
6807,0
6808,0
6751,0
6713,1
6715,0
6703,0
6707,1
6719,1
6736,1
6739,0
6861,0
6868,0
6624,1
6440,0
6485,0
6498,1
6500,0
6504,1
6472,0
6471,0
6443,0
6444,1
6449,0
6455,0
6456,1
6457,0
6459,0
6461,0
6465,1
6666,1
6670,0
6671,0
6662,0
6651,1
6658,0
6672,1
6688,0
6693,1
6678,0
6680,1
6681,0
6684,1
6604,0
6441,1
6407,1
6870,0
6402,0
6874,0
6697,0
6546,1
6549,0
6517,1
6520,1
6525,0
6583,0
6589,1
6590,1
6591,1
6601,0
6582,1
6567,0
6568,1
6569,0
6508,0
6574,1
6577,0
6579,0
6505,1
6417,1
6419,0
6421,0
6422,0
6423,0
6431,0
6398,1
6399,1
739,1
197,0
277,1
218,0
631,0
769,0
444,0
606,1
823,0
764,1
684,1
824,1
450,0
446,0
763,0
92,1
730,1
765,0
1010,0
1009,1
731,0
782,1
245,0
944,1
674,0
608,0
722,1
250,1
723,1
478,0
719,1
783,1
413,0
437,1
549,0
671,1
102,1
79,1
945,1
81,1
518,1
689,0
243,0
519,0
676,0
675,1
946,1
422,0
469,0
123,1
421,0
735,0
82,0
773,0
438,1
96,1
99,0
105,0
682,0
726,0
774,1
767,1
655,0
604,1
770,1
888,1
560,1
785,0
382,0
6161,0
6257,1
6159,0
6256,1
6163,0
6209,1
6162,0
6158,1
6157,1
6258,0
6156,0
6210,0
6230,1
6188,0
6187,1
6189,0
6242,1
6184,0
6227,0
6186,1
6229,1
6190,0
6235,1
6233,1
6193,1
6195,1
6234,0
6198,1
6196,1
6231,0
6160,1
6262,0
62,1
6263,0
626,1
68,1
476,0
479,0
905,1
818,0
904,0
480,0
871,1
411,1
6164,0
6255,1
525,0
6167,0
521,1
6217,1
6169,0
6207,1
6208,1
6253,0
527,0
6211,1
528,1
6154,1
6259,1
6260,0
6212,1
6152,1
6151,0
628,0
873,1
602,1
649,1
331,1
809,0
7,1
808,1
328,0
967,1
303,0
927,1
330,1
185,1
343,1
746,0
936,1
926,0
35,1
165,0
337,0
596,0
336,1
935,1
804,1
339,1
14,0
314,0
932,1
965,1
504,1
309,1
807,0
970,0
665,1
454,1
909,1
381,0
572,0
400,1
753,1
908,1
943,1
669,0
206,1
486,0
261,0
259,1
667,1
866,0
609,0
906,0
670,0
137,1
539,0
59,1
650,1
402,1
489,0
490,0
648,0
53,1
624,1
265,0
752,0
537,0
308,1
312,1
17,0
964,0
973,1
802,0
191,0
978,0
38,1
508,1
580,1
581,1
963,0
357,1
3,0
836,1
747,0
353,1
162,0
161,0
976,1
426,1
1003,1
425,0
760,0
88,0
463,0
677,1
428,1
427,1
545,1
233,0
877,1
344,0
292,0
6,0
321,1
930,1
325,0
324,1
11,0
617,0
10,1
29,1
323,1
173,1
317,0
23,1
316,1
806,1
363,1
922,1
579,1
847,0
962,1
981,0
371,1
741,1
644,1
372,1
157,1
975,1
349,0
844,0
352,1
8954,1
8952,0
8951,0
8009,1
8015,0
8016,0
7938,0
7939,1
7943,0
7946,1
7948,1
7951,1
7956,0
7957,0
7958,1
7960,1
7963,1
7966,0
7969,1
7953,1
8019,0
7763,0
7771,0
7773,1
7774,0
7783,0
7785,1
7787,1
7788,1
7789,1
7792,0
7793,0
7760,0
8014,1
8003,0
7739,0
7993,0
7464,1
7471,0
7472,0
7473,0
7475,0
7476,0
7482,1
7484,1
7498,0
7502,1
7508,1
7910,1
7912,1
7917,1
7918,0
7919,0
7922,1
7926,0
7907,0
7886,0
7891,0
7893,0
7895,1
7896,0
7898,1
7980,1
7988,1
7989,1
7991,0
7727,1
7744,0
9216,0
9620,1
9618,1
9175,0
9613,1
9176,1
9609,0
9606,1
9604,1
9181,1
9656,0
9144,0
9145,0
9650,0
9649,0
9647,1
9646,0
9151,0
9639,1
9638,1
9635,0
9158,0
9633,0
9182,0
9597,0
9203,0
9581,0
9579,0
9207,1
9208,1
9578,0
9619,0
9621,1
7747,1
9622,1
7748,0
7749,0
7754,0
7756,0
7758,0
7794,1
7848,1
7849,0
7853,0
7858,1
7862,1
7863,1
7868,0
7871,1
7872,1
7874,1
7832,0
7796,0
7798,0
7800,0
7804,1
7875,1
7807,1
7812,0
7814,1
8640,0
8641,0
9162,1
9624,0
7463,1
7514,0
7515,1
8481,1
8485,1
8490,0
8463,0
8431,1
8432,1
8433,0
8493,0
8442,1
8451,0
8452,1
8455,1
8456,1
7588,1
7599,1
7600,1
7602,0
7603,0
7604,1
7605,1
7607,1
7611,0
7615,1
7616,1
7620,1
7621,1
7566,0
7567,0
7572,0
7573,0
8482,0
8480,1
7554,0
8478,1
8494,1
8398,1
8399,1
8408,0
8413,0
8414,0
8417,1
8418,0
8419,0
8421,1
8397,0
8393,1
8390,0
8366,0
8368,0
8369,0
8373,1
8377,1
8380,1
8383,1
8384,1
8387,0
8389,1
8392,1
8464,1
8465,1
8468,0
8469,1
8474,0
7574,1
7580,0
7581,0
7582,1
7443,1
7444,0
7445,0
7450,0
7451,0
7452,1
7455,0
7456,0
7424,1
7374,1
7379,1
7385,0
7386,0
7388,0
7391,1
7394,0
7401,1
7406,0
7416,0
7460,1
7518,1
7521,1
7526,1
7527,0
7528,1
7532,0
7538,0
7539,1
7547,1
7441,1
7439,0
7434,0
7624,1
7583,0
7676,1
7685,0
7690,0
7694,0
7698,1
7708,0
7710,1
7713,1
7715,0
